Monarcs;Year_Birth;Month_Birth;Day_Birth;Reign_Start;Reign_End;Year_Death;Month_Death;Day_Death
Gorm_1;908;NA;NA;NA;958;958;NA;NA
Harald_1;NA;NA;NA;958;987;987;NA;NA
Svend_1;NA;NA;NA;987;1014;1014;NA;NA
Harald_2;NA;NA;NA;1014;1018;1018;NA;NA
Knud_1;995;NA;NA;1018;1035;1035;NA;NA
Hardeknud_1;1020;NA;NA;1035;1042;1042;NA;NA
Magnus_1;1024;NA;NA;1042;1047;1047;NA;NA
Svend_2;NA;NA;NA;1047;1074;1076;NA;NA
Harald_3;NA;NA;NA;1074;1080;1080;NA;NA
Knud_2;NA;NA;NA;1080;1086;1086;NA;NA
Oluf_1;NA;NA;NA;1086;1095;1095;NA;NA
Erik_1;NA;NA;NA;1095;1103;1103;NA;NA
Niels_1;NA;NA;NA;1104;1134;1134;NA;NA
Erik_2;NA;NA;NA;1134;1137;1137;7;18
Erik_3;NA;NA;NA;1137;1146;1146;8;27
Svend_3;NA;NA;NA;NA;NA;1157;NA;NA
Knud_3;NA;NA;NA;NA;NA;1157;8;9
Valdemar_1;1131;;NA;1157;1182;1182;NA;NA
Knud_4;1163;;NA;1182;1202;1202;NA;NA
Valdemar_2;1170;;NA;1202;1241;1241;NA;NA
Erik_4;1216;;NA;1241;1250;1250;NA;NA
Abel_1;1218;NA;NA;1250;1252;1252;NA;NA
Christoffer_1;1219;NA;NA;1252;1259;1259;NA;NA
Erik_5;1249;NA;NA;1259;1286;1286;NA;NA
Erik_6;1274;NA;NA;1286;1319;1319;NA;NA
Christoffer_2;1276;NA;NA;1319;1326;1332;NA;NA
Valdemar_3;1315;NA;NA;1326;1329;1364;NA;NA
Christoffer_2;1274;NA;NA;1329;1332;1332;NA;NA
Valdemar_4;1320;NA;NA;1340;1275;1275;NA;NA
Oluf_2;1370;NA;NA;1375;1387;1387;NA;NA
Margrethe_1;1353;NA;NA;1387;1396;1412;10;28
Erik_7;1382;NA;NA;1396;1439;1459;NA;NA
Christoffer_3;1426;NA;NA;1440;1448;1448;NA;NA
Christian_1;1426;NA;NA;1448;1481;1481;NA;NA
Hans_1;1455;2;2;1482;1513;1513;2;20
Christian_2;1481;7;1;1513;1523;1559;1;25
Frederik_1;1471;10;7;1523;1533;1533;4;10
Christian_3;1503;8;12;1536;1559;1559;1;1
Frederik_2;1534;7;1;1559;1588;1588;4;4
Christian_4;1577;4;12;1588;1648;1648;2;28
Frederik_3;1609;3;18;1648;1670;1670;2;9
Christian_5;1646;4;15;1670;1699;1699;8;25
Frederik_4;1671;10;11;1699;1730;1730;10;12
Christian_6;1699;11;30;1730;1746;1746;8;6
Frederik_5;1723;3;31;1746;1766;1766;1;14
Christian_7;1749;1;29;1766;1808;1808;3;13
Frederik_6;1768;1;28;1808;1839;1839;3;12
Christian_8;1786;9;18;1839;1848;1848;1;20
Frederik_7;1808;10;6;1848;1863;1863;11;15
Christian_9;1818;4;8;1863;1906;1906;1;29
Frederik_8;1843;8;3;1912;1912;1912;5;14
Christian_10;1870;9;26;1912;1947;1947;4;20
Frederik_9;1899;3;11;1947;1972;1972;1;14
Margrethe_2;1940;4;16;1972;;;;
